Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
99.9,7352075,2,3676037.5,3676037.5,6816,7345259,5189062.8,[CUDA memcpy Host-to-Device]
0.1,6880,2,3440.0,3440.0,3200,3680,339.4,[CUDA memcpy Device-to-Host]
