Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
69.3,6432,2,3216.0,3216.0,640,5792,3643.0,[CUDA memcpy Host-to-Device]
30.7,2848,2,1424.0,1424.0,1248,1600,248.9,[CUDA memcpy Device-to-Host]
